Image,Format,CompressionRatio,MSE,PSNR,SSIM,FileSize,FileSizeKB
image4,jpg,0.8648,0.4837,51.2848,0.9965,749982,732.4043
image4,png,0.1937,0.0000,inf,1.0000,3348926,3270.4355
image4,webp,3.6463,1.2815,47.0538,0.9860,177880,173.7109
image0,jpg,1.0153,1.8197,45.5308,0.9925,2873081,2805.7432
image0,png,0.2870,0.0000,inf,1.0000,10165780,9927.5195
image0,webp,1.3997,6.4121,40.0608,0.9737,2084018,2035.1738
image6,jpg,10.8705,5.9476,40.3874,0.9581,2064852,2016.4570
image6,png,1.2028,0.0000,inf,1.0000,18661487,18224.1084
image6,webp,17.5158,6.8208,39.7924,0.9458,1281468,1251.4336
image7,jpg,12.1219,5.3068,40.8825,0.9250,1711349,1671.2393
image7,png,1.2356,0.0000,inf,1.0000,16789700,16396.1914
image7,webp,19.1930,6.1977,40.2085,0.9221,1080848,1055.5156
image1,jpg,1.0067,0.8833,48.6698,0.9910,2262462,2209.4355
image1,png,0.1625,0.0000,inf,1.0000,14018998,13690.4277
image1,webp,2.4281,3.9056,42.2139,0.9596,938020,916.0352
image2,jpg,1.0184,3.0044,43.3533,0.9838,7246682,7076.8379
image2,png,0.2087,0.0000,inf,1.0000,35360277,34531.5205
image2,webp,1.4425,7.7539,39.2356,0.9547,5115948,4996.0430
image3,jpg,0.9770,1.6947,45.8399,0.9859,7597602,7419.5332
image3,png,0.1901,0.0000,inf,1.0000,39046314,38131.1660
image3,webp,1.8266,6.0823,40.2901,0.9407,4063642,3968.4004
